Giorno;2013;2014;2015;2016;2017;2018;2019;2020
13/12;30;12;13;23;43;33;24;47
14/12;33;13;21;22;52;39;19;54
15/12;17;40;22;25;51;14;25;53
16/12;36;43;26;18;41;13;37;48
17/12;43;35;16;17;48;29;24;45
18/12;27;24;19;10;56;18;11;41
19/12;36;20;20;19;37;23;28;26
20/12;25;23;16;18;30;18;18;20
21/12;12;10;23;18;32;17;25;21
22/12;24;35;20;25;29;25;10;40
23/12;30;18;14;12;28;16;12;36
24/12;21;14;8;8;25;21;16;26
25/12;8;7;7;6;13;11;13;31
26/12;24;21;16;21;17;19;9;26
27/12;43;15;14;33;46;38;31;36
28/12;14;17;30;24;37;27;9;28
29/12;19;23;17;17;27;30;16;36
30/12;39;15;11;14;24;19;20;42
31/12;17;11;7;11;14;37;11;20
